"band_name","band_url","band_start_time","band_end_time","band_stage","band_day","band_img","band_website_url"
"LANY","http://lineup.sfoutsidelands.com/band/lany","12:45 PM","1:35 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67400/custome4e1598fa12d639d0b530dc2c7b77b28.jpg","http://thisislany.com/"
"RA RA RIOT","http://lineup.sfoutsidelands.com/band/ra-ra-riot","2:05 PM","2:55 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67420/customd678537ad74ce69dc25aa1f6cb118d20.jpg","http://rarariot.com/"
"ST. LUCIA","http://lineup.sfoutsidelands.com/band/st-lucia","3:25 PM","4:15 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67430/custom06ef1b89a0f8c8fb264428495c108e49.jpg","http://stlucianewyork.com/"
"MIIKE SNOW","http://lineup.sfoutsidelands.com/band/miike-snow","4:45 PM","5:45 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67450/custom17d6d03bf0d43ef62da3ca2fb1ab034c.jpg","http://www.miikesnow.com/"
"DURAN DURAN","http://lineup.sfoutsidelands.com/band/duran-duran","6:15 PM","7:25 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67474/custom23da93083b08a69beb5b0ebf3cb80e31.jpg","http://duranduran.warnereprise.com/"
"LCD SOUNDSYSTEM","http://lineup.sfoutsidelands.com/band/lcd-soundsystem","8:10 PM","9:55 PM","Lands End","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67462/custom2f862134fd0527fb4fd9a01ca89e72bb.jpg","http://lcdsoundsystem.com/"
"WHITNEY","http://lineup.sfoutsidelands.com/band/whitney","12:00 PM","12:45 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67442/customd6d8b39e75fb138c6662f4816cfee9f3.jpg","http://www.secretlycanadian.com/artist/?name=whitney"
"CAVEMAN","http://lineup.sfoutsidelands.com/band/caveman","1:15 PM","2:00 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67458/custom075fb56da74afaa2e97a05b4335b9c52.jpg","http://cavemantheband.com/"
"WET","http://lineup.sfoutsidelands.com/band/wet","2:30 PM","3:20 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67520/custom8c427ae0232ca27673b7fc8379917404.jpg","http://kanyewet.biz/dontyou"
"FOALS","http://lineup.sfoutsidelands.com/band/foals","3:50 PM","4:40 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67478/custom1d2762792f9f00cc1b544f35db3d803a.jpg","http://www.foals.co.uk/"
"THE CLAYPOOL LENNON DELIRIUM","http://lineup.sfoutsidelands.com/band/claypool-lennon-delirium","5:10 PM","6:00 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67376/custom6c1265a59b5f90cf45d54debc11578e5.jpg","http://lesclaypool.com/news/"
"NATHANIEL RATELIFF & THE NIGHT SWEATS","http://lineup.sfoutsidelands.com/band/nathaniel-rateliff","6:30 PM","7:20 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67414/custom3ffec3f5c9bec32d28fb07dfc9f2b6a0.jpg","http://www.nathanielrateliff.com/"
